Unknown: Rt: 49.6558 (Align ID: 1) @ 16-Hydroxyhexadecanoic acid (2TMS)Compound in Library Factor = N/A
Hit 66 : <<Octacosanol>>;<<C28H58O>>; MF: 668; RMF: 746; Prob: -1.00; CAS:557-61-9; Mw: 410; Lib: <<replib>>; Id: 7558; RI: 3118.
Hit 67 : <<Docosyl pentafluoropropionate>>;<<C25H45F5O2>>; MF: 665; RMF: 746; Prob: -1.00; CAS:0; Mw: 472; Lib: <<mainlib>>; Id: 27725; RI: 2384.
Hit 68 : <<9-Tricosene, (Z)->>;<<C23H46>>; MF: 662; RMF: 746; Prob: -1.00; CAS:27519-02-4; Mw: 322; Lib: <<replib>>; Id: 5929; RI: 2275.
Hit 69 : <<Carbonic acid, allyl tridecyl ester>>;<<C17H32O3>>; MF: 659; RMF: 746; Prob: -1.00; CAS:0; Mw: 284; Lib: <<mainlib>>; Id: 4329; RI: 0.
Hit 70 : <<Triacontan-15-ol>>;<<C30H62O>>; MF: 656; RMF: 746; Prob: -1.00; CAS:31849-26-0; Mw: 438; Lib: <<mainlib>>; Id: 30128; RI: 3210.
Unknown: Rt: 49.6561 (Align ID: 2) @ Linoleic acid (1TMS)            Compound in Library Factor = N/A
Hit 1  : <<Nonacos-1-ene>>;<<C29H58>>; MF: 520; RMF: 738; Prob: -1.00; CAS:18835-35-3; Mw: 406; Lib: <<mainlib>>; Id: 27766; RI: 2885.
Hit 2  : <<2-Nonadecanol>>;<<C19H40O>>; MF: 510; RMF: 738; Prob: -1.00; CAS:26533-36-8; Mw: 284; Lib: <<mainlib>>; Id: 19715; RI: 0.
Hit 3  : <<1-Eicosanol>>;<<C20H42O>>; MF: 515; RMF: 723; Prob: -1.00; CAS:629-96-9; Mw: 298; Lib: <<replib>>; Id: 2509; RI: 2282.
Hit 4  : <<Heptacos-1-ene>>;<<C27H54>>; MF: 515; RMF: 717; Prob: -1.00; CAS:15306-27-1; Mw: 378; Lib: <<mainlib>>; Id: 27748; RI: 2693.
Hit 5  : <<Oxirane, tetradecyl->>;<<C16H32O>>; MF: 516; RMF: 708; Prob: -1.00; CAS:7320-37-8; Mw: 240; Lib: <<replib>>; Id: 1496; RI: 1676.
Hit 6  : <<1-Heneicosyl formate>>;<<C22H44O2>>; MF: 501; RMF: 706; Prob: -1.00; CAS:77899-03-7; Mw: 340; Lib: <<mainlib>>; Id: 28107; RI: 0.
Hit 7  : <<Pentadecanal->>;<<C15H30O>>; MF: 494; RMF: 700; Prob: -1.00; CAS:2765-11-9; Mw: 226; Lib: <<replib>>; Id: 7475; RI: 1715.
Hit 8  : <<Oxalic acid, allyl tetradecyl ester>>;<<C19H34O4>>; MF: 478; RMF: 699; Prob: -1.00; CAS:0; Mw: 326; Lib: <<mainlib>>; Id: 3436; RI: 0.
Hit 9  : <<Oxalic acid, allyl octadecyl ester>>;<<C23H42O4>>; MF: 463; RMF: 694; Prob: -1.00; CAS:0; Mw: 382; Lib: <<mainlib>>; Id: 2846; RI: 0.
Hit 10 : <<1-Decanol, 2-hexyl->>;<<C16H34O>>; MF: 516; RMF: 689; Prob: -1.00; CAS:2425-77-6; Mw: 242; Lib: <<replib>>; Id: 7766; RI: 1796.
Hit 11 : <<13-Methyltetradecanal>>;<<C15H30O>>; MF: 483; RMF: 685; Prob: -1.00; CAS:75853-51-9; Mw: 226; Lib: <<mainlib>>; Id: 27694; RI: 1680.
Hit 12 : <<Oxalic acid, isobutyl octadecyl ester>>;<<C24H46O4>>; MF: 492; RMF: 682; Prob: -1.00; CAS:0; Mw: 398; Lib: <<mainlib>>; Id: 27595; RI: 0.
Hit 13 : <<Oxalic acid, isobutyl hexadecyl ester>>;<<C22H42O4>>; MF: 487; RMF: 682; Prob: -1.00; CAS:0; Mw: 370; Lib: <<mainlib>>; Id: 27593; RI: 0.
