Unknown: MSHub_GCMS_polar_to_NIST.mgf file offset = 00000000         Compound in Library Factor = N/A
Hit 50 : <<5H-1-Pyrindine, 6,7-dihydro->>;<<C8H9N>>; MF: 337; RMF: 550; Prob: -1.00; CAS:533-37-9; Mw: 119; Lib: <<mainlib>>; Id: 120983; RI: 0.
Hit 51 : <<Succinic acid, isohexyl 3-phenylpropyl ester>>;<<C19H28O4>>; MF: 331; RMF: 550; Prob: -1.00; CAS:0; Mw: 320; Lib: <<mainlib>>; Id: 120877; RI: 0.
Hit 52 : <<1H-Indole, 2,3-dihydro->>;<<C8H9N>>; MF: 354; RMF: 549; Prob: -1.00; CAS:496-15-1; Mw: 119; Lib: <<replib>>; Id: 23176; RI: 1196.
Hit 53 : <<Succinic acid, octyl 3-phenylpropyl ester>>;<<C21H32O4>>; MF: 315; RMF: 548; Prob: -1.00; CAS:0; Mw: 348; Lib: <<mainlib>>; Id: 120718; RI: 0.
Hit 54 : <<Succinic acid, butyl 3-phenylpropyl ester>>;<<C17H24O4>>; MF: 318; RMF: 547; Prob: -1.00; CAS:0; Mw: 292; Lib: <<mainlib>>; Id: 120714; RI: 0.
Hit 55 : <<1-Propyne, 3-bromo->>;<<C3H3Br>>; MF: 259; RMF: 547; Prob: -1.00; CAS:106-96-7; Mw: 118; Lib: <<mainlib>>; Id: 2235; RI: 0.
Hit 56 : <<Dimethylmalonic acid, 3-phenylpropyl propyl ester>>;<<C17H24O4>>; MF: 273; RMF: 546; Prob: -1.00; CAS:0; Mw: 292; Lib: <<mainlib>>; Id: 120744; RI: 1950.
Hit 57 : <<Pimelic acid, di(3-phenylpropyl) ester>>;<<C25H32O4>>; MF: 246; RMF: 546; Prob: -1.00; CAS:0; Mw: 396; Lib: <<mainlib>>; Id: 120824; RI: 3142.
Hit 58 : <<Glutaric acid, hept-2-yl 3-phenylpropyl ester>>;<<C21H32O4>>; MF: 346; RMF: 545; Prob: -1.00; CAS:0; Mw: 348; Lib: <<mainlib>>; Id: 120977; RI: 2482.
Hit 59 : <<Dimethylmalonic acid, 3-phenylpropyl undecyl ester>>;<<C25H40O4>>; MF: 343; RMF: 545; Prob: -1.00; CAS:0; Mw: 404; Lib: <<mainlib>>; Id: 120754; RI: 2726.
Hit 60 : <<Diethylmalonic acid, dodecyl 3-phenylpropyl ester>>;<<C28H46O4>>; MF: 329; RMF: 545; Prob: -1.00; CAS:0; Mw: 446; Lib: <<mainlib>>; Id: 120899; RI: 3011.
Hit 61 : <<Diethylmalonic acid, nonyl 3-phenylpropyl ester>>;<<C25H40O4>>; MF: 317; RMF: 545; Prob: -1.00; CAS:0; Mw: 404; Lib: <<mainlib>>; Id: 120896; RI: 2689.
Hit 62 : <<Glutaric acid, 2-ethylhexyl 3-phenylpropyl ester>>;<<C22H34O4>>; MF: 352; RMF: 544; Prob: -1.00; CAS:0; Mw: 362; Lib: <<mainlib>>; Id: 120900; RI: 2607.
Hit 63 : <<2-Azetidinone, 3-methyl-1,4-diphenyl->>;<<C16H15NO>>; MF: 352; RMF: 544; Prob: -1.00; CAS:7468-12-4; Mw: 237; Lib: <<mainlib>>; Id: 120692; RI: 0.
Hit 64 : <<Succinic acid, 8-chlorooctyl 3-phenylpropyl ester>>;<<C21H31ClO4>>; MF: 319; RMF: 544; Prob: -1.00; CAS:0; Mw: 382; Lib: <<mainlib>>; Id: 120794; RI: 2977.
