Unknown: UnknownID=0|RT=54.14|RI=3244.5                              Compound in Library Factor = N/A
Hit 2  : <<o-Anisic acid, 3,4-dichlorophenyl ester>>;<<C14H10Cl2O3>>; MF: 589; RMF: 900; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 148294; RI: 2236.
Hit 3  : <<1,3-Benzenediol, O,O'-di(2-methoxybenzoyl)->>;<<C22H18O6>>; MF: 586; RMF: 897; Prob: -1.00; CAS:0; Mw: 378; Lib: <<mainlib>>; Id: 149592; RI: 0.
Hit 4  : <<1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-propargyloxycarbonyl->>;<<C18H14O6>>; MF: 583; RMF: 894; Prob: -1.00; CAS:0; Mw: 326; Lib: <<mainlib>>; Id: 149589; RI: 0.
Hit 5  : <<o-Anisic acid, 4-cyanophenyl ester>>;<<C15H11NO3>>; MF: 584; RMF: 892; Prob: -1.00; CAS:0; Mw: 253; Lib: <<mainlib>>; Id: 148293; RI: 2167.
Hit 6  : <<o-Anisic acid, 4-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 581; RMF: 889; Prob: -1.00; CAS:0; Mw: 262; Lib: <<mainlib>>; Id: 148290; RI: 2046.
Hit 7  : <<2-Methoxybenzoic acid, 4-chloro-2-methylphenyl ester>>;<<C15H13ClO3>>; MF: 550; RMF: 886; Prob: -1.00; CAS:0; Mw: 276; Lib: <<mainlib>>; Id: 148310; RI: 0.
Hit 8  : <<1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-ethoxycarbonyl->>;<<C17H16O6>>; MF: 575; RMF: 884; Prob: -1.00; CAS:0; Mw: 316; Lib: <<mainlib>>; Id: 149588; RI: 0.
Hit 9  : <<2-Methoxybenzoic acid, 4-isopropylphenyl ester>>;<<C17H18O3>>; MF: 544; RMF: 882; Prob: -1.00; CAS:0; Mw: 270; Lib: <<mainlib>>; Id: 148311; RI: 0.
Hit 10 : <<1,2-Benzenediol, O,O'-di(2-methoxybenzoyl)->>;<<C22H18O6>>; MF: 575; RMF: 881; Prob: -1.00; CAS:0; Mw: 378; Lib: <<mainlib>>; Id: 149586; RI: 0.
Hit 11 : <<2-Methoxybenzoic acid, 2-formyl-4,6-dichlorophenyl ester>>;<<C15H10Cl2O4>>; MF: 544; RMF: 881; Prob: -1.00; CAS:0; Mw: 324; Lib: <<mainlib>>; Id: 148313; RI: 0.
Hit 12 : <<2-Methoxybenzoic acid, 2,3-dichlorophenyl ester>>;<<C14H10Cl2O3>>; MF: 542; RMF: 880; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 148312; RI: 0.
Hit 13 : <<o-Anisic acid, cyclobutyl ester>>;<<C12H14O3>>; MF: 579; RMF: 879; Prob: -1.00; CAS:0; Mw: 206; Lib: <<mainlib>>; Id: 148286; RI: 1601.
Hit 14 : <<1,2-Benzenediol, o-(4-methoxybenzoyl)-o'-(2,2,3,3,4,4,4-heptafluorobutyryl)->>;<<C18H11F7O5>>; MF: 549; RMF: 874; Prob: -1.00; CAS:0; Mw: 440; Lib: <<mainlib>>; Id: 149581; RI: 0.
Hit 15 : <<p-Anisic acid, 4-nitrophenyl ester>>;<<C14H11NO5>>; MF: 594; RMF: 873; Prob: -1.00; CAS:0; Mw: 273; Lib: <<mainlib>>; Id: 149578; RI: 2383.
Hit 16 : <<p-Anisic acid, 3,4-dichlorophenyl ester>>;<<C14H10Cl2O3>>; MF: 595; RMF: 872; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 149577; RI: 2323.
Hit 17 : <<Benzoic acid, 2-methoxy-, phenyl ester>>;<<C14H12O3>>; MF: 571; RMF: 871; Prob: -1.00; CAS:10268-71-0; Mw: 228; Lib: <<mainlib>>; Id: 148359; RI: 1859.
Hit 18 : <<1,3-Benzenediol, o-methoxycarbonyl-o'-(2-methoxybenzoyl)->>;<<C16H14O6>>; MF: 564; RMF: 871; Prob: -1.00; CAS:0; Mw: 302; Lib: <<mainlib>>; Id: 148306; RI: 0.
Hit 19 : <<o-Methoxybenzoic acid, 3,5-difluorophenyl ester>>;<<C14H10F2O3>>; MF: 570; RMF: 870; Prob: -1.00; CAS:0; Mw: 264; Lib: <<mainlib>>; Id: 148277; RI: 1805.
Hit 20 : <<o-Methoxybenzoic acid, 5-fluoro-2-nitrophenyl ester>>;<<C14H10FNO5>>; MF: 567; RMF: 870; Prob: -1.00; CAS:0; Mw: 291; Lib: <<mainlib>>; Id: 148279; RI: 2020.
Hit 21 : <<1,3-Benzenediol, o-(2-methoxybenzoyl)->>;<<C14H12O4>>; MF: 567; RMF: 869; Prob: -1.00; CAS:0; Mw: 244; Lib: <<mainlib>>; Id: 148307; RI: 0.
Hit 22 : <<o-Anisic acid, 3,5-dimethylphenyl ester>>;<<C16H16O3>>; MF: 589; RMF: 868; Prob: -1.00; CAS:0; Mw: 256; Lib: <<mainlib>>; Id: 148291; RI: 2061.
Hit 23 : <<p-Anisic acid, 4-cyanophenyl ester>>;<<C15H11NO3>>; MF: 592; RMF: 867; Prob: -1.00; CAS:0; Mw: 253; Lib: <<mainlib>>; Id: 149576; RI: 2244.
Hit 24 : <<2-Methoxybenzoic acid, 2-fluorophenyl ester>>;<<C14H11FO3>>; MF: 547; RMF: 867; Prob: -1.00; CAS:0; Mw: 246; Lib: <<mainlib>>; Id: 148301; RI: 0.
Hit 25 : <<o-Methoxybenzoic acid, 2-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 565; RMF: 864; Prob: -1.00; CAS:85965-92-0; Mw: 262; Lib: <<mainlib>>; Id: 148365; RI: 1941.
