Unknown: UnknownID=0|RT=38.325|RI=2744.1                             Compound in Library Factor = N/A
Hit 24 : <<Fenchol>>;<<C10H18O>>; MF: 596; RMF: 668; Prob: -1.00; CAS:1632-73-1; Mw: 154; Lib: <<replib>>; Id: 14329; RI: 1114.
Hit 25 : <<2-Buten-1-ol, 2-methyl->>;<<C5H10O>>; MF: 360; RMF: 666; Prob: -1.00; CAS:4675-87-0; Mw: 86; Lib: <<replib>>; Id: 11053; RI: 769.
Hit 26 : <<3-(1H-Pyrrol-3-yl)propionic acid, methyl ester>>;<<C8H11NO2>>; MF: 528; RMF: 665; Prob: -1.00; CAS:150985-69-6; Mw: 153; Lib: <<mainlib>>; Id: 61761; RI: 0.
Hit 27 : <<1H-Imidazole, 4-(2-propenyl)->>;<<C6H8N2>>; MF: 399; RMF: 660; Prob: -1.00; CAS:50995-98-7; Mw: 108; Lib: <<mainlib>>; Id: 103773; RI: 0.
Hit 28 : <<Methyl 1,2,3,6-tetrahydropyridine-3-carboxylate>>;<<C7H11NO2>>; MF: 526; RMF: 657; Prob: -1.00; CAS:121743-23-5; Mw: 141; Lib: <<mainlib>>; Id: 63838; RI: 1164.
Hit 29 : <<3-Cyclohexene-1-carboxylic acid, methyl ester>>;<<C8H12O2>>; MF: 487; RMF: 657; Prob: -1.00; CAS:6493-77-2; Mw: 140; Lib: <<replib>>; Id: 14125; RI: 0.
Hit 30 : <<1,2-Benzenediamine>>;<<C6H8N2>>; MF: 469; RMF: 657; Prob: -1.00; CAS:95-54-5; Mw: 108; Lib: <<replib>>; Id: 21303; RI: 1219.
Hit 31 : <<1H-Pyrrole, 1-pentyl->>;<<C9H15N>>; MF: 599; RMF: 651; Prob: -1.00; CAS:699-22-9; Mw: 137; Lib: <<mainlib>>; Id: 62543; RI: 0.
Hit 32 : <<2H-Pyran-2-carboxylic acid, 3,6-dihydro-6-methoxy-, butyl ester>>;<<C11H18O4>>; MF: 482; RMF: 648; Prob: -1.00; CAS:25556-21-2; Mw: 214; Lib: <<mainlib>>; Id: 62946; RI: 0.
Hit 33 : <<2H-Pyran, 2-[(1,1-dimethyl-2-butynyl)oxy]tetrahydro->>;<<C11H18O2>>; MF: 523; RMF: 646; Prob: -1.00; CAS:24642-03-3; Mw: 182; Lib: <<mainlib>>; Id: 62599; RI: 0.
Hit 34 : <<Bi-2-cyclohexen-1-yl>>;<<C12H18>>; MF: 488; RMF: 645; Prob: -1.00; CAS:1541-20-4; Mw: 162; Lib: <<replib>>; Id: 14336; RI: 0.
Hit 35 : <<2-Butene, 1-chloro-4-ethoxy->>;<<C6H11ClO>>; MF: 337; RMF: 645; Prob: -1.00; CAS:53957-23-6; Mw: 134; Lib: <<mainlib>>; Id: 89797; RI: 0.
Hit 36 : <<1,3-Diazine>>;<<C4H4N2>>; MF: 391; RMF: 642; Prob: -1.00; CAS:289-95-2; Mw: 80; Lib: <<replib>>; Id: 14091; RI: 0.
