Unknown: MZmine_GCMS_apolar_54-56min_to_NIST.mgf file offset = 00000000Compound in Library Factor = N/A
Hit 13 : <<(3S,8S,9S,10R,13R,14S,17R)-17-((2R,5R)-5,6-Dimethylheptan-2-yl)-3-methoxy-10,13-dimethyl-2,3,4,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene>>;<<C29H50O>>; MF: 778; RMF: 810; Prob: -1.00; CAS:29365-29-5; Mw: 414; Lib: <<mainlib>>; Id: 9767; RI: 3185.
Hit 14 : <<Ergost-7-en-3-ol, (3á)->>;<<C28H48O>>; MF: 798; RMF: 808; Prob: -1.00; CAS:26047-31-4; Mw: 400; Lib: <<mainlib>>; Id: 8270; RI: 0.
Hit 15 : <<Ergost-8(14)-en-3-ol, (3á)->>;<<C28H48O>>; MF: 726; RMF: 808; Prob: -1.00; CAS:30365-65-2; Mw: 400; Lib: <<mainlib>>; Id: 301652; RI: 0.
Hit 16 : <<Glaucyl alcohol>>;<<C15H24O>>; MF: 537; RMF: 806; Prob: -1.00; CAS:87745-32-2; Mw: 220; Lib: <<mainlib>>; Id: 219570; RI: 0.
Hit 17 : <<Ergostane-3,12-diol, (3à,5á,12à)->>;<<C28H50O2>>; MF: 709; RMF: 803; Prob: -1.00; CAS:56052-70-1; Mw: 418; Lib: <<mainlib>>; Id: 16327; RI: 0.
Hit 18 : <<Alloaromadendrene oxide-(1)>>;<<C15H24O>>; MF: 610; RMF: 803; Prob: -1.00; CAS:0; Mw: 220; Lib: <<mainlib>>; Id: 4210; RI: 0.
Hit 19 : <<Aromadendrene oxide-(1)>>;<<C15H24O>>; MF: 609; RMF: 800; Prob: -1.00; CAS:0; Mw: 220; Lib: <<mainlib>>; Id: 3289; RI: 1672.
Hit 20 : <<9,19-Cyclocholestan-3-ol, 14-methyl-, (3á,5à)->>;<<C28H48O>>; MF: 715; RMF: 799; Prob: -1.00; CAS:1912-66-9; Mw: 400; Lib: <<mainlib>>; Id: 85084; RI: 0.
Hit 21 : <<Chola-5,22-dien-3-ol, (3á,22Z)->>;<<C24H38O>>; MF: 596; RMF: 798; Prob: -1.00; CAS:57597-14-5; Mw: 342; Lib: <<mainlib>>; Id: 39997; RI: 0.
Hit 22 : <<Uvidin C>>;<<C15H26O3>>; MF: 627; RMF: 796; Prob: -1.00; CAS:74635-85-1; Mw: 254; Lib: <<mainlib>>; Id: 11644; RI: 2001.
Hit 23 : <<Cyclopropa[d]naphthalen-2(4aH)-one, 1,1a,5,6,7,8-hexahydro-4a,8,8-trimethyl-, [1aR-(1aà,4aá,8aS*)]->>;<<C14H20O>>; MF: 478; RMF: 792; Prob: -1.00; CAS:4677-90-1; Mw: 204; Lib: <<mainlib>>; Id: 11431; RI: 0.
Hit 24 : <<4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)->>;<<C20H34O2>>; MF: 681; RMF: 790; Prob: -1.00; CAS:7220-78-2; Mw: 306; Lib: <<mainlib>>; Id: 61945; RI: 0.
Hit 25 : <<Uvidin C, diacetate>>;<<C19H30O5>>; MF: 622; RMF: 790; Prob: -1.00; CAS:0; Mw: 338; Lib: <<mainlib>>; Id: 11659; RI: 2107.
Hit 26 : <<5à,14á-Cholestane-3,11-dione>>;<<C27H44O2>>; MF:  97; RMF: 790; Prob: -1.00; CAS:69454-69-9; Mw: 400; Lib: <<mainlib>>; Id: 280019; RI: 0.
Hit 27 : <<Androstan-17-ol, 2,3-epoxy-, (2à,3à,5à,17á)->>;<<C19H30O2>>; MF: 664; RMF: 788; Prob: -1.00; CAS:965-66-2; Mw: 290; Lib: <<mainlib>>; Id: 74662; RI: 0.
Hit 28 : <<Alloaromadendrene oxide-(2)>>;<<C15H24O>>; MF: 602; RMF: 787; Prob: -1.00; CAS:0; Mw: 220; Lib: <<mainlib>>; Id: 4206; RI: 0.
Hit 29 : <<Coprost-25-en-16,22-epoxy-3à-ol>>;<<C27H44O2>>; MF: 603; RMF: 783; Prob: -1.00; CAS:122337-93-3; Mw: 400; Lib: <<replib>>; Id: 2554; RI: 0.
Hit 30 : <<Alloaromadendrene>>;<<C15H24>>; MF: 525; RMF: 783; Prob: -1.00; CAS:25246-27-9; Mw: 204; Lib: <<replib>>; Id: 1558; RI: 1461.
Hit 31 : <<5-Androstenetriol>>;<<C19H30O3>>; MF: 681; RMF: 781; Prob: -1.00; CAS:4150-30-5; Mw: 306; Lib: <<mainlib>>; Id: 99454; RI: 0.
Hit 32 : <<11-á-Hydroxyandrosterone>>;<<C19H30O3>>; MF: 675; RMF: 781; Prob: -1.00; CAS:57-61-4; Mw: 306; Lib: <<mainlib>>; Id: 103132; RI: 2795.
Hit 33 : <<Cholest-7-ene-3á,5á,6á-triol>>;<<C27H46O3>>; MF: 637; RMF: 780; Prob: -1.00; CAS:0; Mw: 418; Lib: <<mainlib>>; Id: 7798; RI: 0.
Hit 34 : <<Cholestane, 3,4-epoxy-2-methyl-, (2à,3à,4à,5à)->>;<<C28H48O>>; MF: 673; RMF: 778; Prob: -1.00; CAS:55724-43-1; Mw: 400; Lib: <<mainlib>>; Id: 17839; RI: 0.
Hit 35 : <<5-Androstene-3á,16á,17à-triol>>;<<C19H30O3>>; MF: 676; RMF: 775; Prob: -1.00; CAS:25126-70-9; Mw: 306; Lib: <<mainlib>>; Id: 75427; RI: 0.
Hit 36 : <<22-Ketocholesterol>>;<<C27H44O2>>; MF: 768; RMF: 774; Prob: -1.00; CAS:0; Mw: 400; Lib: <<mainlib>>; Id: 17383; RI: 0.
Hit 37 : <<Cholest-5-en-3-ol, 6-methyl-, (3á)->>;<<C28H48O>>; MF: 730; RMF: 774; Prob: -1.00; CAS:43217-66-9; Mw: 400; Lib: <<mainlib>>; Id: 300287; RI: 0.
Hit 38 : <<5-Androstene-3á,16à,17à-triol>>;<<C19H30O3>>; MF: 675; RMF: 773; Prob: -1.00; CAS:23409-40-7; Mw: 306; Lib: <<mainlib>>; Id: 75428; RI: 0.
Hit 39 : <<Cholest-7-en-3-ol, 14-methyl-, (3á)->>;<<C28H48O>>; MF: 662; RMF: 773; Prob: -1.00; CAS:56687-74-2; Mw: 400; Lib: <<mainlib>>; Id: 27762; RI: 0.
Hit 40 : <<5-Acetyloxy-10,10-dimethyl-6-methylenebicyclo[7.2.0]undecan-2-one>>;<<C16H24O3>>; MF: 605; RMF: 773; Prob: -1.00; CAS:0; Mw: 264; Lib: <<mainlib>>; Id: 8117; RI: 1860.
Hit 41 : <<Pregnane-3,11,20,21-tetrol, cyclic 20,21-[(1,1-dimethylethyl)boronate], (3à,5à,11á,20S)->>;<<C25H43BO4>>; MF: 769; RMF: 771; Prob: -1.00; CAS:30888-37-0; Mw: 418; Lib: <<mainlib>>; Id: 62612; RI: 0.
Hit 42 : <<Cholest-8-en-3-ol, 14-methyl-, (3á,5à)->>;<<C28H48O>>; MF: 689; RMF: 771; Prob: -1.00; CAS:6062-47-1; Mw: 400; Lib: <<mainlib>>; Id: 7903; RI: 0.
Hit 43 : <<5à-Androstan-17-one, 3à,11á-dihydroxy-, 3-acetate>>;<<C21H32O4>>; MF: 684; RMF: 770; Prob: -1.00; CAS:1516-42-3; Mw: 348; Lib: <<mainlib>>; Id: 12323; RI: 0.
Hit 44 : <<(1R,4aR,5S)-5-((E)-5-Methoxy-3-methylpent-3-en-1-yl)-1,4a-dimethyl-6-methylenedecahydronaphthalene-1-carbaldehyde>>;<<C21H34O2>>; MF: 668; RMF: 770; Prob: -1.00; CAS:0; Mw: 318; Lib: <<mainlib>>; Id: 62854; RI: 2364.
Hit 45 : <<9,10-Secocholesta-5,7,10(19)-triene-3,25,26-triol, (3á,5Z,7E)->>;<<C27H44O3>>; MF: 630; RMF: 769; Prob: -1.00; CAS:29261-12-9; Mw: 416; Lib: <<mainlib>>; Id: 24648; RI: 0.
Hit 46 : <<Isocholesteryl methyl ether>>;<<C28H48O>>; MF: 639; RMF: 767; Prob: -1.00; CAS:29944-53-4; Mw: 400; Lib: <<mainlib>>; Id: 7944; RI: 0.
